PERMNO,date,TICKER,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
14593,20200812,AAPL,441.19000,453.10001,452.04001,452.23001,452.23999,441.98999
14593,20200813,AAPL,455.70999,464.17001,460.04001,460.04001,460.04999,457.72000
14593,20200814,AAPL,452.17999,460.00000,459.63000,459.70001,459.78000,459.31500
14593,20200817,AAPL,455.85010,464.35001,458.42999,458.32999,458.39001,464.25000
14593,20200818,AAPL,456.03000,464.00000,462.25000,462.07999,462.26001,457.41000
14593,20200819,AAPL,462.44000,468.64999,462.82999,462.64999,462.85001,463.93301
14593,20200820,AAPL,462.93350,473.56799,473.10001,472.82999,473.07001,463.00000
14593,20200821,AAPL,477.00000,499.47198,497.48001,497.31000,497.41000,477.04999
14593,20200824,AAPL,495.74500,515.14001,503.42999,503.67999,503.79001,514.78998
14593,20200825,AAPL,492.20999,500.71719,499.29999,499.29999,499.31000,498.79001
14593,20200826,AAPL,500.32999,507.97000,506.09000,506.09000,506.19000,504.71701
14593,20200827,AAPL,495.32999,509.94000,500.04001,500.04001,500.17001,508.57001
14593,20200828,AAPL,498.31000,505.76999,499.23001,498.82999,498.95999,504.04999
14593,20200831,AAPL,126.00000,131.00000,129.03999,128.78999,128.85001,127.58000
14593,20200901,AAPL,130.53000,134.80000,134.17999,134.17000,134.21001,132.75999
14593,20200902,AAPL,127.00000,137.98000,131.39999,131.17999,131.38000,137.59000
14593,20200903,AAPL,120.50000,128.84000,120.88000,120.91000,120.94000,126.91000
14593,20200904,AAPL,110.89000,123.70000,120.96000,120.90000,120.91000,120.07000
14593,20200908,AAPL,112.68000,118.99000,112.82000,112.82000,112.90000,113.95000
14593,20200909,AAPL,115.26000,119.14000,117.32000,117.20000,117.26000,117.26000
14593,20200910,AAPL,112.50000,120.50000,113.49000,113.44000,113.49000,120.36000
14593,20200911,AAPL,110.00000,115.23000,112.00000,112.00000,112.01000,114.57000
14593,20200914,AAPL,112.80000,115.93000,115.35500,115.35000,115.36000,114.72000
14593,20200915,AAPL,113.61000,118.82900,115.54000,115.54000,115.55000,118.33000
14593,20200916,AAPL,112.04000,116.00000,112.13000,112.11000,112.13000,115.23000
14593,20200917,AAPL,108.71000,112.20000,110.34000,110.32000,110.36000,109.72000
14593,20200918,AAPL,106.09000,110.88000,106.84000,106.66000,106.67000,110.40000
14593,20200921,AAPL,103.10000,110.19000,110.08000,110.13000,110.15000,104.54000
14593,20200922,AAPL,109.16000,112.86000,111.81000,111.80000,111.81000,112.68000
14593,20200923,AAPL,106.77000,112.11000,107.12000,107.21000,107.24000,111.62000
14593,20200924,AAPL,105.00000,110.25000,108.22000,108.20000,108.22000,105.17000
14593,20200925,AAPL,107.67000,112.44000,112.28000,112.28000,112.29000,108.43000
14593,20200928,AAPL,112.78000,115.32000,114.96000,114.99000,115.00000,115.01000
14593,20200929,AAPL,113.57000,115.31000,114.09000,114.08000,114.11000,114.55000
14593,20200930,AAPL,113.62000,117.26000,115.81000,115.61000,115.64000,113.79000
14593,20201001,AAPL,115.83000,117.72000,116.79000,116.79000,116.80000,117.64000
14593,20201002,AAPL,112.22000,115.37000,113.02000,113.02000,113.03000,112.89000
14593,20201005,AAPL,113.55000,116.65000,116.50000,116.50000,116.58000,113.91000
